"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","14 years","Clare","Number","1647"
"Population","2011","Both sexes","14 years","Cavan","Number","1066"
"Population","2011","Both sexes","14 years","Carlow","Number","684"
"Population","2011","Both sexes","14 years","Dublin City","Number","4993"
"Population","2011","Both sexes","14 years","Donegal","Number","2321"
"Population","2011","Both sexes","14 years","Dún Laoghaire-Rathdown","Number","2523"
"Population","2011","Both sexes","14 years","Fingal","Number","3248"
"Population","2011","Both sexes","14 years","Galway City","Number","702"
"Population","2011","Both sexes","14 years","Galway County","Number","2405"
"Population","2011","Both sexes","14 years","Kildare","Number","2915"
"Population","2011","Both sexes","14 years","Kilkenny","Number","1370"
"Population","2011","Both sexes","14 years","Kerry","Number","1997"
"Population","2011","Both sexes","14 years","Longford","Number","507"
"Population","2011","Both sexes","14 years","Louth","Number","1594"
"Population","2011","Both sexes","14 years","Limerick City and County","Number","2528"
"Population","2011","Both sexes","14 years","Leitrim","Number","405"
"Population","2011","Both sexes","14 years","Laois","Number","1034"
"Population","2011","Both sexes","14 years","Meath","Number","2506"
"Population","2011","Both sexes","14 years","Monaghan","Number","823"
"Population","2011","Both sexes","14 years","Mayo","Number","1830"
"Population","2011","Both sexes","14 years","Offaly","Number","1125"
"Population","2011","Both sexes","14 years","Roscommon","Number","852"
"Population","2011","Both sexes","14 years","South Dublin","Number","3505"
"Population","2011","Both sexes","14 years","Sligo","Number","874"
"Population","2011","Both sexes","14 years","Tipperary","Number","2203"
"Population","2011","Both sexes","14 years","Waterford City and County","Number","1567"
"Population","2011","Both sexes","14 years","Westmeath","Number","1219"
"Population","2011","Both sexes","14 years","Wicklow","Number","1892"
"Population","2011","Both sexes","14 years","Wexford","Number","2041"
"Population","2011","Both sexes","15 years","State","Number","57227"
"Population","2011","Both sexes","15 years","Cork City and Cork County","Number","6376"
"Population","2011","Both sexes","15 years","Clare","Number","1560"
"Population","2011","Both sexes","15 years","Cavan","Number","1010"
"Population","2011","Both sexes","15 years","Carlow","Number","669"
"Population","2011","Both sexes","15 years","Dublin City","Number","5046"
"Population","2011","Both sexes","15 years","Donegal","Number","2364"
"Population","2011","Both sexes","15 years","Dún Laoghaire-Rathdown","Number","2477"
"Population","2011","Both sexes","15 years","Fingal","Number","3150"
"Population","2011","Both sexes","15 years","Galway City","Number","709"
"Population","2011","Both sexes","15 years","Galway County","Number","2343"
"Population","2011","Both sexes","15 years","Kildare","Number","2684"
"Population","2011","Both sexes","15 years","Kilkenny","Number","1313"
"Population","2011","Both sexes","15 years","Kerry","Number","1870"
"Population","2011","Both sexes","15 years","Longford","Number","555"
"Population","2011","Both sexes","15 years","Louth","Number","1558"
"Population","2011","Both sexes","15 years","Limerick City and County","Number","2353"
"Population","2011","Both sexes","15 years","Leitrim","Number","437"
"Population","2011","Both sexes","15 years","Laois","Number","1065"
"Population","2011","Both sexes","15 years","Meath","Number","2414"
"Population","2011","Both sexes","15 years","Monaghan","Number","836"
"Population","2011","Both sexes","15 years","Mayo","Number","1765"
"Population","2011","Both sexes","15 years","Offaly","Number","1093"
"Population","2011","Both sexes","15 years","Roscommon","Number","848"
"Population","2011","Both sexes","15 years","South Dublin","Number","3302"
"Population","2011","Both sexes","15 years","Sligo","Number","798"
"Population","2011","Both sexes","15 years","Tipperary","Number","2171"
"Population","2011","Both sexes","15 years","Waterford City and County","Number","1465"
"Population","2011","Both sexes","15 years","Westmeath","Number","1246"
"Population","2011","Both sexes","15 years","Wicklow","Number","1800"
"Population","2011","Both sexes","15 years","Wexford","Number","1950"
"Population","2011","Both sexes","16 years","State","Number","56005"
"Population","2011","Both sexes","16 years","Cork City and Cork County","Number","6384"
"Population","2011","Both sexes","16 years","Clare","Number","1495"
"Population","2011","Both sexes","16 years","Cavan","Number","979"
"Population","2011","Both sexes","16 years","Carlow","Number","666"
"Population","2011","Both sexes","16 years","Dublin City","Number","4939"
"Population","2011","Both sexes","16 years","Donegal","Number","2213"
"Population","2011","Both sexes","16 years","Dún Laoghaire-Rathdown","Number","2406"
"Population","2011","Both sexes","16 years","Fingal","Number","3127"
"Population","2011","Both sexes","16 years","Galway City","Number","686"
"Population","2011","Both sexes","16 years","Galway County","Number","2232"
"Population","2011","Both sexes","16 years","Kildare","Number","2655"
"Population","2011","Both sexes","16 years","Kilkenny","Number","1224"
"Population","2011","Both sexes","16 years","Kerry","Number","1914"
"Population","2011","Both sexes","16 years","Longford","Number","494"
"Population","2011","Both sexes","16 years","Louth","Number","1541"
"Population","2011","Both sexes","16 years","Limerick City and County","Number","2334"
"Population","2011","Both sexes","16 years","Leitrim","Number","363"
"Population","2011","Both sexes","16 years","Laois","Number","1016"
"Population","2011","Both sexes","16 years","Meath","Number","2277"
"Population","2011","Both sexes","16 years","Monaghan","Number","861"
"Population","2011","Both sexes","16 years","Mayo","Number","1709"
"Population","2011","Both sexes","16 years","Offaly","Number","1080"
"Population","2011","Both sexes","16 years","Roscommon","Number","842"
"Population","2011","Both sexes","16 years","South Dublin","Number","3331"
"Population","2011","Both sexes","16 years","Sligo","Number","828"
"Population","2011","Both sexes","16 years","Tipperary","Number","2096"
"Population","2011","Both sexes","16 years","Waterford City and County","Number","1441"
"Population","2011","Both sexes","16 years","Westmeath","Number","1208"
"Population","2011","Both sexes","16 years","Wicklow","Number","1724"
"Population","2011","Both sexes","16 years","Wexford","Number","1940"
"Population","2011","Both sexes","17 years","State","Number","55865"
"Population","2011","Both sexes","17 years","Cork City and Cork County","Number","6185"
"Population","2011","Both sexes","17 years","Clare","Number","1530"
"Population","2011","Both sexes","17 years","Cavan","Number","973"
"Population","2011","Both sexes","17 years","Carlow","Number","655"
"Population","2011","Both sexes","17 years","Dublin City","Number","5281"
"Population","2011","Both sexes","17 years","Donegal","Number","2206"
"Population","2011","Both sexes","17 years","Dún Laoghaire-Rathdown","Number","2542"
"Population","2011","Both sexes","17 years","Fingal","Number","3111"
"Population","2011","Both sexes","17 years","Galway City","Number","719"
"Population","2011","Both sexes","17 years","Galway County","Number","2319"
"Population","2011","Both sexes","17 years","Kildare","Number","2542"
"Population","2011","Both sexes","17 years","Kilkenny","Number","1278"
"Population","2011","Both sexes","17 years","Kerry","Number","1804"
"Population","2011","Both sexes","17 years","Longford","Number","499"
"Population","2011","Both sexes","17 years","Louth","Number","1531"
"Population","2011","Both sexes","17 years","Limerick City and County","Number","2316"
"Population","2011","Both sexes","17 years","Leitrim","Number","372"
"Population","2011","Both sexes","17 years","Laois","Number","938"
"Population","2011","Both sexes","17 years","Meath","Number","2243"
"Population","2011","Both sexes","17 years","Monaghan","Number","844"
"Population","2011","Both sexes","17 years","Mayo","Number","1727"
"Population","2011","Both sexes","17 years","Offaly","Number","1021"
"Population","2011","Both sexes","17 years","Roscommon","Number","806"
"Population","2011","Both sexes","17 years","South Dublin","Number","3294"
"Population","2011","Both sexes","17 years","Sligo","Number","806"
"Population","2011","Both sexes","17 years","Tipperary","Number","2107"
"Population","2011","Both sexes","17 years","Waterford City and County","Number","1422"
"Population","2011","Both sexes","17 years","Westmeath","Number","1158"
"Population","2011","Both sexes","17 years","Wicklow","Number","1748"
"Population","2011","Both sexes","17 years","Wexford","Number","1888"
"Population","2011","Both sexes","18 years","State","Number","56840"
"Population","2011","Both sexes","18 years","Cork City and Cork County","Number","6597"
"Population","2011","Both sexes","18 years","Clare","Number","1469"
"Population","2011","Both sexes","18 years","Cavan","Number","877"
"Population","2011","Both sexes","18 years","Carlow","Number","732"
"Population","2011","Both sexes","18 years","Dublin City","Number","6324"
"Population","2011","Both sexes","18 years","Donegal","Number","1972"
"Population","2011","Both sexes","18 years","Dún Laoghaire-Rathdown","Number","2813"
"Population","2011","Both sexes","18 years","Fingal","Number","3043"
"Population","2011","Both sexes","18 years","Galway City","Number","1214"
"Population","2011","Both sexes","18 years","Galway County","Number","2161"
"Population","2011","Both sexes","18 years","Kildare","Number","2708"
"Population","2011","Both sexes","18 years","Kilkenny","Number","1291"
"Population","2011","Both sexes","18 years","Kerry","Number","1588"
"Population","2011","Both sexes","18 years","Longford","Number","432"
"Population","2011","Both sexes","18 years","Louth","Number","1513"
"Population","2011","Both sexes","18 years","Limerick City and County","Number","2781"
"Population","2011","Both sexes","18 years","Leitrim","Number","340"
"Population","2011","Both sexes","18 years","Laois","Number","812"
"Population","2011","Both sexes","18 years","Meath","Number","2104"
"Population","2011","Both sexes","18 years","Monaghan","Number","766"
"Population","2011","Both sexes","18 years","Mayo","Number","1657"
"Population","2011","Both sexes","18 years","Offaly","Number","939"
"Population","2011","Both sexes","18 years","Roscommon","Number","689"
"Population","2011","Both sexes","18 years","South Dublin","Number","3310"
"Population","2011","Both sexes","18 years","Sligo","Number","947"
"Population","2011","Both sexes","18 years","Tipperary","Number","1906"
